2026-03-14 11:30:07.862 ui_auto_wechat.py[627] get_current_chat_messages -> Find Control Timeout(10s): {Depth: 1, Name: '微信', ControlType: WindowControl}
2026-03-14 11:30:18.894 ui_auto_wechat.py[627] get_current_chat_messages -> Find Control Timeout(10s): {Depth: 1, Name: '微信', ControlType: WindowControl}
2026-03-14 11:30:29.928 ui_auto_wechat.py[627] get_current_chat_messages -> Find Control Timeout(10s): {Depth: 1, Name: '微信', ControlType: WindowControl}
2026-03-14 11:30:40.986 ui_auto_wechat.py[627] get_current_chat_messages -> Find Control Timeout(10s): {Depth: 1, Name: '微信', ControlType: WindowControl}
2026-03-14 11:30:52.005 ui_auto_wechat.py[627] get_current_chat_messages -> Find Control Timeout(10s): {Depth: 1, Name: '微信', ControlType: WindowControl}
2026-03-14 11:31:03.027 ui_auto_wechat.py[627] get_current_chat_messages -> Find Control Timeout(10s): {Depth: 1, Name: '微信', ControlType: WindowControl}
2026-03-14 11:31:14.092 ui_auto_wechat.py[627] get_current_chat_messages -> Find Control Timeout(10s): {Depth: 1, Name: '微信', ControlType: WindowControl}
2026-03-14 11:31:25.127 ui_auto_wechat.py[627] get_current_chat_messages -> Find Control Timeout(10s): {Depth: 1, Name: '微信', ControlType: WindowControl}
2026-03-14 11:31:36.181 ui_auto_wechat.py[627] get_current_chat_messages -> Find Control Timeout(10s): {Depth: 1, Name: '微信', ControlType: WindowControl}
2026-03-14 11:31:47.227 ui_auto_wechat.py[627] get_current_chat_messages -> Find Control Timeout(10s): {Depth: 1, Name: '微信', ControlType: WindowControl}
2026-03-14 11:31:58.248 ui_auto_wechat.py[627] get_current_chat_messages -> Find Control Timeout(10s): {Depth: 1, Name: '微信', ControlType: WindowControl}
2026-03-14 11:32:09.302 ui_auto_wechat.py[627] get_current_chat_messages -> Find Control Timeout(10s): {Depth: 1, Name: '微信', ControlType: WindowControl}
2026-03-14 11:32:20.347 ui_auto_wechat.py[627] get_current_chat_messages -> Find Control Timeout(10s): {Depth: 1, Name: '微信', ControlType: WindowControl}
2026-03-14 11:32:31.374 ui_auto_wechat.py[627] get_current_chat_messages -> Find Control Timeout(10s): {Depth: 1, Name: '微信', ControlType: WindowControl}
2026-03-14 11:32:42.405 ui_auto_wechat.py[627] get_current_chat_messages -> Find Control Timeout(10s): {Depth: 1, Name: '微信', ControlType: WindowControl}
2026-03-14 11:32:53.439 ui_auto_wechat.py[627] get_current_chat_messages -> Find Control Timeout(10s): {Depth: 1, Name: '微信', ControlType: WindowControl}
2026-03-14 11:33:04.472 ui_auto_wechat.py[627] get_current_chat_messages -> Find Control Timeout(10s): {Depth: 1, Name: '微信', ControlType: WindowControl}
2026-03-14 11:33:15.518 ui_auto_wechat.py[627] get_current_chat_messages -> Find Control Timeout(10s): {Depth: 1, Name: '微信', ControlType: WindowControl}
2026-03-14 11:33:26.553 ui_auto_wechat.py[627] get_current_chat_messages -> Find Control Timeout(10s): {Depth: 1, Name: '微信', ControlType: WindowControl}
2026-03-14 11:33:37.601 ui_auto_wechat.py[627] get_current_chat_messages -> Find Control Timeout(10s): {Depth: 1, Name: '微信', ControlType: WindowControl}
2026-03-14 11:33:48.637 ui_auto_wechat.py[627] get_current_chat_messages -> Find Control Timeout(10s): {Depth: 1, Name: '微信', ControlType: WindowControl}
2026-03-14 11:33:59.667 ui_auto_wechat.py[627] get_current_chat_messages -> Find Control Timeout(10s): {Depth: 1, Name: '微信', ControlType: WindowControl}
2026-03-14 11:34:10.718 ui_auto_wechat.py[627] get_current_chat_messages -> Find Control Timeout(10s): {Depth: 1, Name: '微信', ControlType: WindowControl}
2026-03-14 11:34:21.751 ui_auto_wechat.py[627] get_current_chat_messages -> Find Control Timeout(10s): {Depth: 1, Name: '微信', ControlType: WindowControl}
2026-03-14 11:34:32.792 ui_auto_wechat.py[627] get_current_chat_messages -> Find Control Timeout(10s): {Depth: 1, Name: '微信', ControlType: WindowControl}
2026-03-14 11:34:43.834 ui_auto_wechat.py[627] get_current_chat_messages -> Find Control Timeout(10s): {Depth: 1, Name: '微信', ControlType: WindowControl}
2026-03-14 11:34:54.890 ui_auto_wechat.py[627] get_current_chat_messages -> Find Control Timeout(10s): {Depth: 1, Name: '微信', ControlType: WindowControl}
2026-03-14 11:35:05.952 ui_auto_wechat.py[627] get_current_chat_messages -> Find Control Timeout(10s): {Depth: 1, Name: '微信', ControlType: WindowControl}
2026-03-14 11:35:16.991 ui_auto_wechat.py[627] get_current_chat_messages -> Find Control Timeout(10s): {Depth: 1, Name: '微信', ControlType: WindowControl}
